,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,0.0,4.279,0.164,3.739,3.586,0.939,2.471,0.622,1.34,2.844,2.744,3.781,4.153,2.548,4.764,4.718,4.735,3.106,2.424,1.934,2.253,2.543,2.518,1.296,3.616,2.146,4.068,2.873,4.5,1.409,2.905,5.924,5.611,4.551
1,3.977,0.0,3.901,4.394,1.145,4.125,2.243,3.829,2.557,3.0,3.552,0.975,4.475,4.603,4.721,5.04,5.057,2.939,2.995,3.99,1.663,5.31,1.399,3.492,3.937,2.46,4.39,1.115,0.599,3.382,2.459,5.881,5.568,4.873
2,0.164,4.354,0.0,3.814,3.661,0.95,2.546,0.767,1.415,2.919,2.819,3.856,4.228,2.623,4.839,4.793,4.81,3.181,2.499,2.009,2.328,2.618,2.593,1.307,3.691,2.221,4.143,2.948,4.575,1.42,2.98,5.999,5.686,4.626
3,2.06,3.163,1.983,0.0,2.47,2.208,2.009,1.912,1.366,3.696,3.699,2.665,5.17,3.503,5.416,5.735,5.752,1.99,1.585,2.889,1.672,3.498,1.937,1.397,4.632,1.167,5.085,2.531,3.384,1.287,1.789,6.576,6.263,5.568
4,4.498,1.109,4.422,3.422,0.0,4.646,2.114,4.35,2.555,2.999,3.551,0.273,4.473,4.602,4.719,5.038,5.055,2.095,2.405,3.989,0.982,5.308,0.718,4.0,3.935,2.304,4.388,0.362,0.598,3.89,1.894,5.879,5.566,4.871
5,2.678,4.111,1.974,3.651,3.417,0.0,2.519,2.53,1.994,4.325,4.318,3.612,5.799,4.122,6.045,6.364,6.381,2.937,2.472,3.508,2.301,4.117,2.566,1.309,5.261,2.194,5.714,2.921,4.332,1.153,2.735,7.205,6.892,6.197
6,2.629,1.87,2.553,2.151,1.176,2.777,0.0,2.481,1.209,2.786,3.338,1.371,4.26,4.073,4.506,4.825,4.842,0.696,1.139,3.459,0.309,4.068,0.574,2.144,3.722,0.217,4.175,0.93,2.091,2.034,0.216,5.666,5.353,4.658
7,0.622,4.131,0.688,3.591,3.438,1.604,2.323,0.0,1.192,2.179,2.079,3.633,3.488,1.883,4.099,4.053,4.07,2.958,2.276,1.269,2.105,1.878,2.37,1.758,2.951,1.998,3.403,2.725,4.352,1.832,2.757,5.259,4.946,3.886
8,1.582,2.799,1.506,3.006,2.105,1.73,1.207,1.434,0.0,3.013,3.222,2.3,4.487,3.026,4.733,5.052,5.069,1.625,1.16,2.412,0.989,3.021,1.254,1.207,3.949,0.882,4.402,1.609,3.02,1.281,1.423,5.893,5.58,4.885
9,2.107,4.466,2.313,4.832,3.772,2.962,2.596,1.826,2.421,0.0,0.552,3.967,2.328,1.603,2.574,2.893,2.91,3.292,3.505,0.99,2.378,1.657,2.643,2.999,1.79,2.813,2.243,2.998,4.687,3.073,2.812,3.734,3.421,2.726
10,1.556,3.914,1.762,4.281,3.22,2.411,2.044,1.275,1.87,2.564,0.0,3.415,3.873,1.051,4.484,4.438,4.455,2.74,2.954,0.438,1.826,2.263,2.091,2.448,3.336,2.261,3.788,2.446,4.135,2.522,2.26,5.644,5.331,4.271
