,warehouse_1_in_lats,warehouse_1_in_lngs,warehouse_1_out_lats,warehouse_1_out_lngs
0,"[21.027558, 21.0266906, 21.0264113, 21.0234132, 21.0125995, 21.0087686, 20.999634, 20.9915106, 20.9893519, 20.9872822, 20.9817276, 21.008413, 21.0918356, 21.0908725, 21.0937151, 21.0910685, 21.0859505, 21.0824735, 21.0847931, 21.0844049]","[105.8238221, 105.822785, 105.8230738, 105.8197372, 105.8122551, 105.8093303, 105.7970873, 105.8029211, 105.8045532, 105.8062993, 105.8912596, 105.9150656, 105.9618965, 105.9634809, 105.9667421, 105.9786955, 105.9777109, 105.9931521, 105.9935603, 105.9960805]","[21.0844049, 21.0847931, 21.0824735, 21.0859417, 21.0910199, 21.0938718, 21.0999167, 20.9818578, 20.9871205, 20.9895698, 20.9914517, 20.9934761, 20.9992934, 21.0087031, 21.0125268, 21.0152539, 21.017768, 21.0233744, 21.026284, 21.0266906, 21.027558]","[105.9960805, 105.9935603, 105.9931521, 105.9777927, 105.9787767, 105.9674707, 105.9654402, 105.8910786, 105.80658, 105.8049783, 105.80353, 105.8019266, 105.7973501, 105.8094458, 105.8123799, 105.8141532, 105.8158391, 105.8198981, 105.8232003, 105.822785, 105.8238221]"
1,"[21.0467561, 21.0474035, 21.0416498, 21.0399252, 21.0406504, 21.0365969, 21.035414, 21.035039, 21.0396991, 21.031845, 21.0313611, 21.0276752, 21.0260537, 21.0228937, 21.0300778, 21.0259268, 21.0238012, 21.0918356, 21.0908725, 21.0937151, 21.0910685, 21.0859505, 21.0824735, 21.0847931, 21.0844049]","[105.8072897, 105.8080075, 105.8362237, 105.8472084, 105.8498993, 105.8536671, 105.8543497, 105.8544979, 105.8659098, 105.8782767, 105.8794776, 105.8941427, 105.8985417, 105.905273, 105.913493, 105.9260774, 105.9288159, 105.9618965, 105.9634809, 105.9667421, 105.9786955, 105.9777109, 105.9931521, 105.9935603, 105.9960805]","[21.0844049, 21.0847931, 21.0824735, 21.0859417, 21.0910199, 21.0938718, 21.1055035, 21.1158392, 21.1009065, 21.0971499, 21.0881608, 21.1080211, 21.1075163, 21.1247494, 21.1248169, 21.1233291, 21.1171972, 21.0491151, 21.0481335, 21.0464822, 21.0475626, 21.0474035, 21.0467561]","[105.9960805, 105.9935603, 105.9931521, 105.9777927, 105.9787767, 105.9674707, 105.9618263, 105.9560598, 105.9332871, 105.9288889, 105.902719, 105.8507799, 105.8502134, 105.8314455, 105.8256881, 105.8269595, 105.8269201, 105.8047371, 105.8049112, 105.8054906, 105.8060704, 105.8080075, 105.8072897]"
2,"[21.0270718, 21.0273611, 21.0270964, 21.0266906, 21.0264113, 21.0234132, 21.0125995, 21.0087686, 20.999634, 20.9915106, 20.9893519, 20.9872822, 20.9817276, 21.008413, 21.0918356, 21.0908725, 21.0937151, 21.0910685, 21.0859505, 21.0824735, 21.0847931, 21.0844049]","[105.8226814, 105.8230201, 105.8232769, 105.822785, 105.8230738, 105.8197372, 105.8122551, 105.8093303, 105.7970873, 105.8029211, 105.8045532, 105.8062993, 105.8912596, 105.9150656, 105.9618965, 105.9634809, 105.9667421, 105.9786955, 105.9777109, 105.9931521, 105.9935603, 105.9960805]","[21.0844049, 21.0847931, 21.0824735, 21.0859417, 21.0910199, 21.0938718, 21.0999167, 20.9818578, 20.9871205, 20.9895698, 20.9914517, 20.9934761, 20.9992934, 21.0087031, 21.0125268, 21.0152539, 21.017768, 21.0233744, 21.026284, 21.0269455, 21.0270718]","[105.9960805, 105.9935603, 105.9931521, 105.9777927, 105.9787767, 105.9674707, 105.9654402, 105.8910786, 105.80658, 105.8049783, 105.80353, 105.8019266, 105.7973501, 105.8094458, 105.8123799, 105.8141532, 105.8158391, 105.8198981, 105.8232003, 105.8225335, 105.8226814]"
3,"[21.0292701, 21.0301128, 21.0173735, 21.0056846, 21.004602, 21.0028432, 20.9817276, 21.008413, 21.0918356, 21.0908725, 21.0937151, 21.0910685, 21.0859505, 21.0824735, 21.0847931, 21.0844049]","[105.8073093, 105.8123919, 105.8066686, 105.7923113, 105.7923585, 105.7939326, 105.8912596, 105.9150656, 105.9618965, 105.9634809, 105.9667421, 105.9786955, 105.9777109, 105.9931521, 105.9935603, 105.9960805]","[21.0844049, 21.0847931, 21.0824735, 21.0859417, 21.0910199, 21.0938718, 21.0999167, 20.9818578, 21.0006867, 21.0043065, 21.0153507, 21.0293651, 21.0293751, 21.0292701]","[105.9960805, 105.9935603, 105.9931521, 105.9777927, 105.9787767, 105.9674707, 105.9654402, 105.8910786, 105.7960416, 105.7933053, 105.8049945, 105.8013618, 105.8023232, 105.8073093]"
4,"[21.0429069, 21.042988, 21.046047, 21.0475626, 21.0492397, 21.1186094, 21.120944, 21.12217, 21.1073537, 21.1079007, 21.0881608, 21.0971499, 21.1044782, 21.1157688, 21.1057493, 21.0938763, 21.0910685, 21.0859505, 21.0824735, 21.0847931, 21.0844049]","[105.808257, 105.8063409, 105.8062889, 105.8060704, 105.804873, 105.8272579, 105.8273131, 105.8279631, 105.8499294, 105.8508731, 105.902719, 105.9288889, 105.9376552, 105.9558489, 105.9613889, 105.9673641, 105.9786955, 105.9777109, 105.9931521, 105.9935603, 105.9960805]","[21.0844049, 21.0847931, 21.0824735, 21.0859417, 21.0910199, 21.0938718, 21.1055035, 21.1158392, 21.1009065, 21.0971499, 21.0881608, 21.1080211, 21.1075163, 21.1247494, 21.1248169, 21.1233291, 21.1171972, 21.0438481, 21.0422521, 21.0403508, 21.0376196, 21.0403606, 21.0410611, 21.0422151, 21.0430212, 21.0429069]","[105.9960805, 105.9935603, 105.9931521, 105.9777927, 105.9787767, 105.9674707, 105.9618263, 105.9560598, 105.9332871, 105.9288889, 105.902719, 105.8507799, 105.8502134, 105.8314455, 105.8256881, 105.8269595, 105.8269201, 105.8059888, 105.8060351, 105.8063489, 105.8066418, 105.8069652, 105.8075621, 105.8070434, 105.806646, 105.808257]"
5,"[21.0238174, 21.0239191, 21.0205547, 21.0195813, 21.0125995, 21.0087686, 20.999634, 20.9915106, 20.9893519, 20.9872822, 20.9817276, 21.008413, 21.0918356, 21.0908725, 21.0937151, 21.0910685, 21.0859505, 21.0824735, 21.0847931, 21.0844049]","[105.8171518, 105.8164384, 105.815293, 105.817, 105.8122551, 105.8093303, 105.7970873, 105.8029211, 105.8045532, 105.8062993, 105.8912596, 105.9150656, 105.9618965, 105.9634809, 105.9667421, 105.9786955, 105.9777109, 105.9931521, 105.9935603, 105.9960805]","[21.0844049, 21.0847931, 21.0824735, 21.0859417, 21.0910199, 21.0938718, 21.0999167, 21.0354284, 21.0349127, 21.0310345, 21.0424956, 21.0390218, 21.0406737, 21.0364673, 21.0343985, 21.0272316, 21.0033221, 21.0031081, 21.0086663, 21.0088152, 21.0088746, 21.0092317, 21.008771, 21.0086846, 21.0085772, 21.0080111, 21.0098623, 21.0183026, 21.0207914, 21.0211219, 21.0238129]","[105.9960805, 105.9935603, 105.9931521, 105.9777927, 105.9787767, 105.9674707, 105.9654402, 105.9344968, 105.9338175, 105.9315842, 105.912818, 105.9078403, 105.9047729, 105.9022205, 105.9016405, 105.8964135, 105.874882, 105.8721274, 105.8660049, 105.8627347, 105.8618572, 105.8586358, 105.8533251, 105.8521973, 105.8487537, 105.8448239, 105.8380829, 105.8297992, 105.8257852, 105.8259493, 105.8171798]"
6,"[21.0378615, 21.0377252, 21.0417339, 21.0469127, 21.1186094, 21.120944, 21.12217, 21.1073537, 21.1079007, 21.0881608, 21.0971499, 21.1044782, 21.1157688, 21.1057493, 21.0938763, 21.0910685, 21.0859505, 21.0824735, 21.0847931, 21.0844049]","[105.8106491, 105.8071577, 105.8065192, 105.8055652, 105.8272579, 105.8273131, 105.8279631, 105.8499294, 105.8508731, 105.902719, 105.9288889, 105.9376552, 105.9558489, 105.9613889, 105.9673641, 105.9786955, 105.9777109, 105.9931521, 105.9935603, 105.9960805]","[21.0844049, 21.0847931, 21.0824735, 21.0859417, 21.0910199, 21.0938718, 21.1055035, 21.1158392, 21.1009065, 21.0971499, 21.0881608, 21.1080211, 21.1075163, 21.1247494, 21.1248169, 21.1233291, 21.1171972, 21.0438481, 21.0422521, 21.0403508, 21.0376196, 21.0378615]","[105.9960805, 105.9935603, 105.9931521, 105.9777927, 105.9787767, 105.9674707, 105.9618263, 105.9560598, 105.9332871, 105.9288889, 105.902719, 105.8507799, 105.8502134, 105.8314455, 105.8256881, 105.8269595, 105.8269201, 105.8059888, 105.8060351, 105.8063489, 105.8066418, 105.8106491]"
7,"[21.0302639, 21.0301453, 21.0320354, 21.0323901, 21.0309901, 21.0340344, 21.0332728, 21.040948, 21.0399252, 21.0406504, 21.0365969, 21.035414, 21.035039, 21.0396991, 21.031845, 21.0313611, 21.0276752, 21.0260537, 21.0228937, 21.0300778, 21.0259268, 21.0238012, 21.0918356, 21.0908725, 21.0937151, 21.0910685, 21.0859505, 21.0824735, 21.0847931, 21.0844049]","[105.8248253, 105.8269944, 105.8269505, 105.8287125, 105.8340303, 105.8345898, 105.8389232, 105.8401303, 105.8472084, 105.8498993, 105.8536671, 105.8543497, 105.8544979, 105.8659098, 105.8782767, 105.8794776, 105.8941427, 105.8985417, 105.905273, 105.913493, 105.9260774, 105.9288159, 105.9618965, 105.9634809, 105.9667421, 105.9786955, 105.9777109, 105.9931521, 105.9935603, 105.9960805]","[21.0844049, 21.0847931, 21.0824735, 21.0859417, 21.0910199, 21.0938718, 21.0999167, 21.0354284, 21.0349127, 21.0310345, 21.0424956, 21.0390218, 21.0406737, 21.0364673, 21.0343985, 21.0272316, 21.0033221, 21.0031081, 21.0086663, 21.0088152, 21.0088746, 21.0092317, 21.008771, 21.0086846, 21.0085772, 21.0080111, 21.0098623, 21.0183026, 21.0207914, 21.0211219, 21.0269008, 21.0295218, 21.0301453, 21.0301901, 21.0302639]","[105.9960805, 105.9935603, 105.9931521, 105.9777927, 105.9787767, 105.9674707, 105.9654402, 105.9344968, 105.9338175, 105.9315842, 105.912818, 105.9078403, 105.9047729, 105.9022205, 105.9016405, 105.8964135, 105.874882, 105.8721274, 105.8660049, 105.8627347, 105.8618572, 105.8586358, 105.8533251, 105.8521973, 105.8487537, 105.8448239, 105.8380829, 105.8297992, 105.8257852, 105.8259493, 105.8279244, 105.8273528, 105.8269944, 105.8251267, 105.8248253]"
8,"[21.0334489, 21.0334671, 21.033212, 21.0338491, 21.0331772, 21.0282539, 21.0173735, 21.0056846, 21.004602, 21.0028432, 20.9817276, 21.008413, 21.0918356, 21.0908725, 21.0937151, 21.0910685, 21.0859505, 21.0824735, 21.0847931, 21.0844049]","[105.8171074, 105.8170202, 105.8169693, 105.8141327, 105.8137183, 105.8122914, 105.8066686, 105.7923113, 105.7923585, 105.7939326, 105.8912596, 105.9150656, 105.9618965, 105.9634809, 105.9667421, 105.9786955, 105.9777109, 105.9931521, 105.9935603, 105.9960805]","[21.0844049, 21.0847931, 21.0824735, 21.0859417, 21.0910199, 21.0938718, 21.0999167, 20.9818578, 21.0006867, 21.0043065, 21.0135124, 21.0172598, 21.0283303, 21.0331171, 21.0338491, 21.033212, 21.0334671, 21.0334489]","[105.9960805, 105.9935603, 105.9931521, 105.9777927, 105.9787767, 105.9674707, 105.9654402, 105.8910786, 105.7960416, 105.7933053, 105.8029747, 105.8068526, 105.8124912, 105.8138859, 105.8141327, 105.8169693, 105.8170202, 105.8171074]"
9,"[21.0372996, 21.0395769, 21.0416498, 21.0399252, 21.0406504, 21.0365969, 21.035414, 21.035039, 21.0396991, 21.031845, 21.0313611, 21.0276752, 21.0260537, 21.0228937, 21.0300778, 21.0259268, 21.0238012, 21.0918356, 21.0908725, 21.0937151, 21.0910685, 21.0859505, 21.0824735, 21.0847931, 21.0844049]","[105.8310555, 105.8286912, 105.8362237, 105.8472084, 105.8498993, 105.8536671, 105.8543497, 105.8544979, 105.8659098, 105.8782767, 105.8794776, 105.8941427, 105.8985417, 105.905273, 105.913493, 105.9260774, 105.9288159, 105.9618965, 105.9634809, 105.9667421, 105.9786955, 105.9777109, 105.9931521, 105.9935603, 105.9960805]","[21.0844049, 21.0847931, 21.0824735, 21.0859417, 21.0910199, 21.0938718, 21.0999167, 21.0354284, 21.0349127, 21.0310345, 21.0424956, 21.0390218, 21.0406737, 21.0364673, 21.0343985, 21.0275314, 21.0313986, 21.031845, 21.0393871, 21.040197, 21.0397936, 21.0356118, 21.0365906, 21.0409949, 21.0506938, 21.0426939, 21.0426847, 21.0418418, 21.0395769, 21.0372996]","[105.9960805, 105.9935603, 105.9931521, 105.9777927, 105.9787767, 105.9674707, 105.9654402, 105.9344968, 105.9338175, 105.9315842, 105.912818, 105.9078403, 105.9047729, 105.9022205, 105.9016405, 105.8966498, 105.8796718, 105.8782767, 105.8660596, 105.8654582, 105.8658924, 105.8546743, 105.853938, 105.8501716, 105.8402119, 105.8357956, 105.8351333, 105.8350822, 105.8286912, 105.8310555]"
